scientificName,imageCount,hasImages,gbifTaxonKeyOrReason
Catasetum × apolloi Benelli & Grade,2,True,2804016
Anathallis gerthatschbachii (Hoehne) Pridgeon & M.W.Chase,6,True,2783043
"Protambulyx astygonus Boisduval, 1875",20,True,1862543
Habenaria montis-wilhelminae Renz,14,True,2829460
"Adhemarius palmeri (Boisduval, 1875)",20,True,1863724
Citrus × limon (L.) Osbeck,20,True,7647136
"Xylophanes tyndarus (Boisduval, 1875)",20,True,1862207
Coccocypselum lymansmithii Standl.,20,True,2906883
Citrus × aurantium L.,20,True,8077391
Maxillaria violaceopunctata Rchb.f.,20,True,5319487
Bifrenaria aureofulva (Hook.) Lindl.,20,True,2796109
"Condylorrhiza vestigialis (Guenée, 1854)",20,True,1884923
"Xylophanes isaon (Boisduval, 1875)",20,True,1862178
Adiantum serratodentatum Willd.,20,True,7335571
Rhipsalis puniceodiscus G.Lindb.,20,True,7280684
"Acanthogonyleptes singularis (Mello-Leitão, 1935)",14,True,9596189
Pilosocereus catingicola (Gürke) Byles & G.D.Rowley,20,True,7284499
Pelargonium × hortorum L.H.Bailey,20,True,2891604
Ormosia fastigiata Tul.,20,True,5355610
Bunchosia pallescens Skottsb.,20,True,3983236
Passiflora gibertii N.E.Br.,20,True,7439989
Leptobalanus apetalus (E.Mey.) Sothers & Prance,20,True,10289996
Oryza latifolia Desv.,20,True,2703456
"Leptodon cayanensis (Latham, 1790)",20,True,5229197
"Noctuana diurna (Butler, 1870)",20,True,1949488
"Montina confusa (Stål, 1859)",20,True,9101732
Hirtella bahiensis Prance,20,True,2985219
Guatteria tomentosa Rusby,20,True,3155933
Justicia brasiliana Roth,20,True,3771127
"Issoca rezendei (Schirch, 1929)",20,True,6477221
Adiantum obliquum Willd.,20,True,2651838
"Brachymetra albinervis Freitas, Costa, Lopes, Lima, dos Santos, de Azevêdo & Franco, 2025",5,True,8484056
Calliandra spinosa Ducke,20,True,2982128
"Hemitriccus flammulatus Berlepsch, 1901",20,True,2482994
"Vitalia galipensis (Müll. Hal.) P.E.A.S.Câmara, Carv.-Silva & W.R. Buck",14,True,9394929
Erythroxylum ovalifolium Peyr.,20,True,3693938
"Stenocerus fulvitarsis (Germar, 1824)",20,True,1168088
"Columbina talpacoti (Temminck, 1810)",20,True,2495858
Kielmeyera coriacea Mart. & Zucc.,20,True,7330272
Lepidaploa canescens (Kunth) H.Rob.,20,True,3099738
Marcetia serratifolia R.B.Pacifico & Almeda,20,True,3231533
Merostachys burmanii Send.,20,True,5673853
"Myiobius atricaudus Lawrence, 1863",20,True,2483298
"Hyperchiria incisa Walker, 1855",20,True,1865711
Unonopsis sanctae-teresae Maas & Westra,17,True,3648488
Eryngium elegans Cham. & Schltdl.,20,True,6026543
Danaea leprieurii Kunze,20,True,5615619
Pecluma pectinata (L.) M.G.Price,20,True,2650508
Chromolaena revoluta (Gardner) R.M.King & H.Rob.,7,True,3087748
"Zelus leucogrammus (Perty, 1833)",20,True,8704416
"Castnia invaria Walker, 1854",20,True,8000293
Miconia centrodesma Naudin,20,True,3870706
Pleurophora anomala (A.St.-Hil.) Koehne,20,True,3988562
"Thalurania watertonii (Bourcier, 1847)",20,True,2476527
Barbacenia fulva Goethart & Henrard,20,True,2863788
"Naupactus navicularis Boheman, 1840",20,True,1210745
"Schwarziana quadripunctata (Lepeletier, 1836)",20,True,1345709
Lueckelia breviloba (Summerh. ex E.W.Cooper) Jenny,4,True,2796645
Bunchosia glandulifera (Jacq.) Kunth,20,True,3191336
Ulva fasciata Delile,20,True,5273413
Senecio brasiliensis (Spreng.) Less.,20,True,3107780
"Pomacea megastoma Sowerby, 1825",20,True,7974572
"Hypocnemis hypoxantha Sclater, 1869",20,True,5230842
"Feigeria herilia (Stoll, 1780)",20,True,10214972
"Oxystigma cyanofrons Williamson, 1919",20,True,5051709
"Naupactus dissimilis Hustache, 1947",20,True,7628329
"Gymnothorax funebris Ranzani, 1839",20,True,2403964
Iochroma arborescens (L.) J.M.H. Shaw,20,True,10209961
Glechon elliptica C.Pereira & Hatschb.,10,True,3891885
"Enchophora recurva (Olivier, 1791)",20,True,5157930
"Traumatomutilla indica (Linnaeus, 1758)",20,True,9456411
Myrcia retorta Cambess.,20,True,3174410
Jacquemontia cataractae Krapov.,13,True,7805832
Asplenium resiliens Kunze,20,True,2650631
"Brachygenys chrysargyrea (Günther, 1859)",20,True,2382527
"Contrafacia imma (Prittwitz, 1865)",20,True,9430902
"Samea multiplicalis (Guenée, 1854)",20,True,1883968
Eragrostis curvula (Schrad.) Nees,20,True,2705378
Philodendron missionum (Hauman) Hauman,20,True,2870884
"Physocyclus viridis (Mello-Leitão, 1940)",6,True,2150541
Ctenitis submarginalis (Langsd. & Fisch.) Ching,20,True,2650915
Passiflora araujoi Sacco,20,True,3588027
"Oxyrhopus occipitalis Wagler, 1824",20,True,2455042
"Camptopleura auxo (Möschler, 1879)",20,True,1945653
Tectaria incisa Cav.,20,True,5275167
Schwenckia americana Rooyen ex L.,20,True,7391817
"Cyclosoma (Monrosiacassis) strigata (Panzer, 1798)",6,True,6271862
"Conognatha (Pithiscus) insignis (Perty, 1830)",12,True,8602287
Comolia smithii Wurdack,20,True,3860121
Campylocentrum grisebachii Cogn.,20,True,2820889
Paepalanthus balansae Ruhland,20,True,5286922
Phoradendron caripense Eichler,20,True,4068933
"Strephonota strephon (Fabricius, 1775)",20,True,8799303
Serjania erecta Radlk.,20,True,5577632
Mouriri pauciflora Spruce ex Cogn.,20,True,5938538
Wunderlichia mirabilis Riedel ex Baker,20,True,3090114
"Morpheis xylotribus (Herrich-Schäffer, 1853)",20,True,5101374
"Turdus rufiventris Vieillot, 1818",20,True,2490718
Euphorbia milii Des Moul.,20,True,3067157
"Tolypeutes tricinctus (Linnaeus, 1758)",20,True,2440793
"Schistochlamys ruficapillus (Vieillot, 1817)",20,True,2488060
Psychotria leiocarpa Cham. & Schltdl.,20,True,2910821
Eragrostis cataclasta Nicora,20,True,4148905
"Pteroglossus bitorquatus Vigors, 1826",20,True,2478834
Miconia hyemalis A.St.-Hil. & Naudin,20,True,3864061
Pseudomerulius curtisii (Berk.) Redhead & Ginns,20,True,2540162
"Psorophora (Janthinosoma) discrucians (Walker, 1856)",20,True,1654695
Malaxis warmingii (Rchb.f.) Kuntze,12,True,2808161
Pseudima frutescens (Aubl.) Radlk.,20,True,3785662
"Micrurus tikuna Feitosa, Silva Junior, Pires, Zaher & Prudente, 2015",2,True,8585160
Elaeoluma schomburgkiana (Miq.) Baill.,20,True,2886355
Leandra fallacissima Markgr.,20,True,3864675
"Rhobonda gaurisana Walker, 1863",20,True,5123333
Leandra adenothrix Cogn.,20,True,3866922
Pera glabrata (Schott) Baill.,20,True,6045891
Himatanthus drasticus (Mart.) Plumel,20,True,3621592
Anemia marginata Mickel,6,True,7772081
Lytoneuron ornithopus (Mett. ex Hook. & Baker) Yesilyurt,20,True,8046518
Emmeorhiza umbellata (Spreng.) K.Schum.,20,True,2908065
"Megalopyge albicollis (Walker, 1855)",20,True,1751625
