index,gbifTaxonKey,scientificName,totalImages
0,1,Agriopis marginaria (Fabricius),16
1,10020142,Solanum caatingae S.Knapp & Särkinen,20
2,10039120,Licania rigida Benth.,20
3,10039315,"Boana cinerascens (Spix, 1824)",20
4,10041602,"Mycotretus trifasciatus Guerin, 1956",8
5,10041868,Galethalea pica,20
6,10046655,"Traumatomutilla quadrum (Klug, 1821)",20
7,1005677,"Watersipora subtorquata (d'Orbigny, 1852)",20
8,10068156,Erruca hanga,20
9,10075196,Ariconias glaphyra,20
10,10086922,"Adelpha thessalia Felder, 1867",20
11,10094803,Perigea glaucoptera,20
12,1010034,"Schizoporella errata (Waters, 1878)",20
13,10103522,"Lachesiodendron viridiflorum (Kunth) P.G.Ribeiro, L.P.Queiroz & Luckow",20
14,10120369,"Drymaeus succineus Pilsbry, 1901",12
15,10120854,Strymon astiocha,20
16,10127791,"Metallactus madefactus Sassi, 2019",6
17,10133681,Hermeuptychia gisella,12
18,10147951,Chrysophyllum pubipetalum Sossai & Alves-Araújo,18
19,10148673,Leptobalanus octandrus subsp. octandrus,20
20,10149888,Pygoda polita,20
21,10159747,"Phyllaemulor bracteatus (Gould, 1846)",18
22,10169323,Aubergina hesychia,20
23,10205682,"Metallactus albipes Suffrian, 1866",17
24,10209961,Iochroma arborescens (L.) J.M.H.Shaw,20
25,10210158,"Pseudautomeris hubneri Boisduval, 1875",20
26,10214972,Feigeria herilia,20
27,10232993,Palicourea gracilenta (Müll.Arg.) Delprete & J.H.Kirkbr.,20
28,10236487,"Adelpha iphicleola Bates, 1864",20
29,10242631,Arzecla arza,20
30,10254418,"Neoponera striatinodis (Emery, 1890)",10
31,10263107,"Serracutisoma spelaeum (Mello-Leitão, 1933)",20
32,10265841,Cissia eous,20
33,10267217,Bromelia magnifica Esteves & Gouda,20
34,10272682,"Anthurium caparaoense Temponi, Camelo & Nadruz",5
35,10273933,"Rhynchophorus palmarum (C.Linnaeus, 1758)",20
36,10275168,Ruellia macrantha (Mart. ex Nees) Hiern,20
37,10289996,Leptobalanus apetalus (E.Mey.) Sothers & Prance,18
38,10294451,"Vitta meleagris (Lamarck, 1822)",20
39,10302305,"Dirphiopsis multicolor Walker, 1855",20
40,10316844,"Cerodirphia parvagans Brechlin & Meister, 2011",20
41,1031735,"Psocathropos lachlani Ribaga, 1899",20
42,1031737,"Psyllipsocus ramburii Selys-Longchamps, 1872",20
43,10321900,Taygetina kerea,20
44,10325727,"Oiticella convergens Herrich-Schäffer, 1855",20
45,10326739,"Cochlorina lateralis (Menke, 1828)",7
46,10332897,"Claremontiella nodulosa (C.B.Adams, 1845)",20
47,10334868,Selenicereus undatus (Haw.) D.R.Hunt,20
48,1033701,"Chelonarium Fabricius, 1801",20
49,1033850,"Ptilodactyla Illiger, 1807",20
50,10340790,Eugenia ochracea Valdemarin & Mazine,9
51,1034206,"Tropisternus lateralis (Fabricius, 1775)",20
52,1034232,"Tropisternus collaris striolatus (J.L.LeConte, 1855)",20
53,10347898,Yphthimoides ordinaria,20
54,10377072,Neda callispilota,14
55,10381192,"Melanis pixe (Boisduval, 1836)",40
56,10382770,"Scinax tymbamirim Nunes, Kwet & Pombal, 2012",19
57,10386589,"Guasuctenus vittatissimus (Strand, 1916)",20
58,10398792,"Prochoerodes tetragonata (Guenée, 1857)",20
59,10409006,Distimake maragniensis (Choisy) Petrongari & Sim.-Bianch.,18
60,10411472,Strymon eurytulus,20
61,10416158,"Leiostracus perlucidus (Spix, 1827)",20
62,10418414,"Leiostracus vittatus (Spix, 1827)",20
63,10429538,"Lethocerus grandis (Linnaeus, 1758)",12
64,1043103,"Cycloneda sanguinea (Linnaeus, 1763)",20
65,1043105,"Cycloneda sanguinea (Linnaeus, 1763)",20
66,1043110,"Pharoscymnus flexibilis (Mulsant, 1853)",20
67,1043151,"Coccidophilus Brethes, 1905",20
68,1043179,"Exoplectra Chevrolat, 1837",20
69,1043478,"Coelophora inaequalis (Fabricius, 1775)",20
70,1043498,"Chilocorus nigritus (Fabricius, 1798)",20
71,1043541,"Brachiacantha quadripunctata quadripunctata Melsheimer, 1847",40
72,1043577,"Psyllobora vigintimaculata (Say, 1824)",120
73,1043590,"Diomus Mulsant, 1850",20
74,1043619,"Epilachna Chevrolat, 1836",40
75,1043627,"Azya orbigera Mulsant, 1850",40
76,1043635,"Coleomegilla maculata (De Geer, 1775)",20
77,1043637,"Coleomegilla maculata (De Geer, 1775)",20
78,1043701,"Cryptognatha gemelata Mulsant, 1850",20
79,1043717,"Cryptolaemus montrouzieri Mulsant, 1853",20
80,1044111,"Carpophilus hemipterus (Linnaeus, 1758)",19
81,10442071,"Traumatomutilla americana (Linnaeus, 1758)",20
82,10443389,Brachycodilla osorius,20
83,1045526,"Litargus tetraspilotus LeConte, 1856",20
84,10459815,BOLD:ACA8064,14
85,1046232,"Tetraonyx Latreille, 1805",20
86,1046275,"Pyrota Dejean, 1834",20
87,1046361,"Epicauta Dejean, 1834",40
88,10464824,Arcobara tergeminaria (Herrich-Schäffer),20
89,1047083,"Acanthinus LaFerté-Sénectère, 1849",20
90,10472489,"Hellica nitida Haglund, 1868",20
91,10472649,Anastrus ulpianus,20
92,1047297,"Disonycha Chevrolat, 1836",40
93,1047343,"Callosobruchus maculatus (Fabricius, 1775)",20
94,1047477,"Lema confusa Chevrolat, 1835",20
95,1047571,"Yingaresca amazonica Weise, 1921",20
96,1047598,"Charidotella sexpunctata (Fabricius, 1781)",20
97,1047790,"Griburius larvatus (Newman, 1840)",20
98,10478387,"Cochlorina intensior (Pilsbry, 1898)",11
99,10482699,"Adelpha malea Felder, 1861",20
100,1048367,"Megalostomis dimidiata Lacordaire, 1848",20
101,1048495,"Diabrotica undecimpunctata Mannerheim, 1843",60
102,1048577,"Omophoita Chevrolat, 1836",80
103,1048934,"Lexiphanes Gistel, 1836",20
104,10489503,"Dirphiopsis ayuruoca Foetterle, 1902",6
105,1049168,"Capraita nigrosignata (Schaeffer, 1920)",20
106,10496134,"Auris bilabiata (Broderip & G.B.Sowerby I, 1830)",20
107,10508358,BOLD:ACK2912,7
108,10510467,"Megaleporinus obtusidens (Valenciennes, 1837)",20
109,10511167,Cissia proba,20
110,10539269,"Adelpha mythra Godart, 1823",20
111,10547069,"Ceroplastes stellifer Westwood, 1871",20
112,10551481,"Boana calcarata (Troschel, 1848)",20
113,10558140,Lycorea ilione (Cramer),20
114,10562611,Astraea gracilis (Müll.Arg.) O.L.M.Silva & Cordeiro,17
115,10578765,Foetterleia schreineri,20
116,10597793,Vernonanthura spathulata M.Monge & Semir,6
117,1059943,"Isonychus sulphureus Mannerheim, 1828",20
118,10607425,"Dysdercus albofasciatus Berg, 1878",20
119,10621225,"Hidripa perdix Maassen & Weymer, 1886",20
120,10627365,"Pleroma fornograndense F.S.Mey., R.Goldenb. & L.Kollmann",5
121,10627816,Sauvagesia spicata (Glaz. ex Dwyer) Queiroz-Lima & D.B.O.S.Cardoso,10
122,10629177,Leuenbergeria bleo (Kunth) Lodé,20
123,10639204,"Scinax imbegue Nunes, Kwet & Pombal, 2012",19
124,10642979,"Mycotretus chilensis Crotch, 1876",11
125,10643769,Cirrhocephalina eucharisalis,20
126,10644476,"Serracutisoma molle (Mello-Leitão, 1933)",19
127,10650351,"Synchlora expulsata (Walker, 1861)",20
128,10654220,"Drymaeus flexilabris (L.Pfeiffer, 1854)",20
129,10658692,"Pseudodirphia eumedidoides Vuillot, 1893",20
130,10659857,Palicourea iodotricha (Müll.Arg.) Delprete & J.H.Kirkbr.,20
131,10661905,"Dirphiopsis trisignata C.Felder & R.Felder, 1874",20
132,10668599,Borreria hispida (L.) K.Schum.,13
133,10671047,Tibouchina minutiflora Cogn.,17
134,10672711,Setaria setosa (Sw.) P.Beauv.,17
135,10673401,Alagoasa scissa,20
136,10674800,Tibouchina carvalhoi Wurdack,9
137,10677048,"Hypoxys triangularis (Dallas, 1851)",20
138,10678315,"Lipaugus ater (Férussac, 1829)",20
139,10680590,Taygetina oreba,10
140,10681287,"Membracis foliatafasciata (De Geer, 1773)",20
141,10681714,Callianthe flava Grings,6
142,10681744,"Anchylorhynchus tremolerasi Hustache, 1937",20
143,10682855,Tibouchina simplicicaulis (Naudin) Cogn.,18
144,10685404,Calyptranthes lucida Mart. ex DC.,20
145,10687077,"Megalobulimus terrestris (Spix, 1827)",20
146,10687700,"Solaropsis brasiliana (Deshayes, 1832)",20
147,10687713,"Peradon diaphanus (Sack, 1921)",11
148,10687763,Pontederia gigantea D.J.Sousa,5
149,10689944,Callianthe costicalyx (K.Schum. ex C.Takeuchi & G.L.Esteves) Grings,13
150,10693179,Pleroma decemcostatum (Cogn.) P.J.F.Guim. & Michelang.,15
151,10696849,"Strophocheilus oblongus haemastomus (Scopoli, 1786)",18
152,10697243,Ruehssia altissima (Jacq.) F.Esp.Santo & Rapini,20
153,10698087,"Mirinaba cadeadensis (Morretes, 1955)",20
154,10698801,Myrcia legrandii A.R.Lourenço & E.Lucas,17
155,10700651,Pleroma clavatum (Pers.) P.J.F.Guim. & Michelang.,20
156,10702291,"Pithecopus megacephalus (Miranda-Ribeiro, 1926)",20
157,10704619,"Moricandia willi (Dohrn, 1883)",20
158,10707902,"Heilus tuberculosus (Perty, 1832)",20
159,10710017,"Megalobulimus gummatus (Hidalgo, 1870)",16
160,10710561,"Boana pulchella (Duméril & Bibron, 1841)",20
161,10711073,"Coptochilus ferrugineus Amyot & Serville, 1843",20
162,10711141,"Boana bischoffi (Boulenger, 1887)",20
163,10711765,Behuria glutinosa Cogn.,12
164,10714040,Tibouchina pallida Cogn.,12
165,10714356,"Odontostomus paulista Pilsbry & Ihering, 1898",20
166,10714357,"Boana semiguttata (Lutz, 1925)",20
167,10714675,Pleroma ramboi (Brade) P.J.F.Guim. & Michelang.,16
168,10715070,"Microlicia capitata R.B.Pacifico, Almeda & Fidanza",17
169,10716095,Tibouchina castellensis Brade,16
170,10717979,"Pithecopus rohdei (Mertens, 1926)",20
171,10718609,"Megalobulimus valenciennesii (L.Pfeiffer, 1842)",20
172,10718797,Calyptranthes pteropoda O.Berg,20
173,10720971,"Elachistocleis helianneae Caramaschi, 2010",18
174,10723064,Tibouchina apparicioi Brade,7
175,10726679,Pleroma nodosum (Wurdack) P.J.F.Guim. & Michelang.,20
176,10731561,"Asemospiza fuliginosa (Wied-Neuwied, 1830)",20
177,10731719,"Adelpha radiata Fruhstorfer, 1915",7
178,10733411,"Pteroglossus beauharnaisii Wagler, 1831",20
179,10735373,"Justicia distichophylla F.A.Silva, A.Gil & Kameyama",20
180,10735988,Tibouchinopsis mirabilis Brade & Markgr.,17
181,10737406,Vriesea rubroviridis F.P.Uribbe & A.F.Costa,20
182,10737968,Tibouchina manicata Cogn.,19
183,10738898,Costus atlanticus E.M.Pessoa & M.Alves,20
184,10740347,"Pachylosticta albiventris Klug, 1824",20
185,10740376,"Euschistus triangulator (Herrich-Schaffer, 1842)",16
186,10740807,Diospyros impia B.Walln.,16
187,10742845,Athenaea wettsteiniana (Witasek) I.M.C.Rodrigues & Stehmann,20
188,1074345,"Agaocephala inermicollis Arrow, 1914",20
189,1074358,"Enema pan (Fabricius, 1775)",20
190,1074406,"Phileurus didymus (Linnaeus, 1758)",20
191,10744520,Tibouchina violacea Cogn.,9
192,10744532,"Sodreana leprevosti (Soares & Soares, 1947)",20
193,10745720,Tibouchina oreophila Wurdack,13
194,10745769,"Streptartemon cookeanus (F.Baker, 1914)",20
195,10746024,"Boana marginata (Boulenger, 1887)",20
196,10746942,"Sympolymnia lauretta (G.W.Peckham & E.G.Peckham, 1892)",20
197,10747310,Stryphnodendron flavotomentosum A.G.Lima & V.C.Souza,9
198,10749545,Nissolia longiflora (Benth. ex A.Gray) T.M.Moura & Fort.-Perez,18
199,10751837,Hiya nigrescens (Hook.) H.Shang,18
200,10752258,"Megasoma typhon typhon (Olivier, 1789)",20
201,10752677,"Diomus seminulus Mulsant, 1850",20
202,10753196,Pleroma gardneri (Naudin) P.J.F.Guim. & Michelang.,18
203,10754690,Pontederia reflexa D.J.Sousa,20
204,10754885,Ruehssia caatingae (Morillo) F.Esp.Santo & Rapini,20
205,10755960,Behuria parvifolia Cogn.,18
206,1075648,"Augoderia nitidula Burmeister, 1847",20
207,10761908,"Burringtonia exesa (Spix, 1827)",20
208,10762725,Guapira heterophylla (Choisy) E.C.O.Chagas & Costa-Lima,14
209,1076392,"Diloboderus abderus (Sturm, 1826)",20
210,10767417,"Leiostracus demerarensis (L.Pfeiffer, 1861)",20
211,10768685,Passiflora faleiroi Imig,9
