ID taxonômico,Classificação taxonômica,nome científico,scientificNameAuthorship,taxonomicStatus,estabelecer meios,Gênero,família,ordem,classe,filo,reino,nome do conjunto de dados,parentGuid,acceptedConceptName,acceptedConceptID,tipo,título
48J5,species,"Adhemarius palmeri (Boisduval, 1875)","(Boisduval, 1875)",accepted,,"Adhemarius Oiticica Filho, 1939","Sphingidae Latreille, 1802","Lepidoptera Linnaeus, 1758","Insecta Linnaeus, 1758","Arthropoda Gravenhorst, 1843",Animalia,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",76JP,,,TAXON,
7QN6,species,Anathallis gerthatschbachii (Hoehne) Pridgeon & M.W.Chase,(Hoehne) Pridgeon & M.W.Chase,accepted,,Anathallis Barb.Rodr.,Orchidaceae A.Juss.,Asparagales,Liliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",FYGG,,,TAXON,
J5GH,species,"Protambulyx astygonus Boisduval, 1875","Boisduval, 1875",accepted,,"Protambulyx Rothschild & Jordan, 1903","Sphingidae Latreille, 1802","Lepidoptera Linnaeus, 1758","Insecta Linnaeus, 1758","Arthropoda Gravenhorst, 1843",Animalia,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",GNRX,,,TAXON,
GQTM,species,Catasetum × apolloi Benelli & Grade,Benelli & Grade,accepted,,Catasetum Rich. ex Kunth,Orchidaceae A.Juss.,Asparagales,Liliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",H8T9,,,TAXON,
GBRV,species,Coccocypselum lymansmithii Standl.,Standl.,accepted,,Coccocypselum P.Browne,Rubiaceae Juss.,Gentianales,Magnoliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",H82,,,TAXON,
CYBM,species,"Xylophanes tyndarus (Boisduval, 1875)","(Boisduval, 1875)",accepted,,"Xylophanes Hübner, 1819","Sphingidae Latreille, 1802","Lepidoptera Linnaeus, 1758","Insecta Linnaeus, 1758","Arthropoda Gravenhorst, 1843",Animalia,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",774S,,,TAXON,
5ST3,species,Citrus × aurantium L.,L.,accepted,,Citrus L.,Rutaceae A.Juss.,Sapindales,Magnoliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",G824,,,TAXON,
6CK7,species,Citrus × limon (L.) Osbeck,(L.) Osbeck,accepted,,Citrus L.,Rutaceae A.Juss.,Sapindales,Magnoliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",G824,,,TAXON,
H22F,species,Habenaria montis-wilhelminae Renz,Renz,accepted,,Habenaria Willd.,Orchidaceae A.Juss.,Asparagales,Liliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",GYBM,,,TAXON,
DTZ2,species,Bifrenaria aureofulva (Hook.) Lindl.,(Hook.) Lindl.,accepted,,Bifrenaria Lindl.,Orchidaceae A.Juss.,Asparagales,Liliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",3LSN,,,TAXON,
33YV,species,Maxillaria violaceopunctata Rchb.f.,Rchb.f.,accepted,,Maxillaria Ruiz & Pav.,Orchidaceae A.Juss.,Asparagales,Liliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",9ZG3,,,TAXON,
J2MV,species,"Condylorrhiza vestigialis (Guenée, 1854)","(Guenée, 1854)",accepted,,"Condylorrhiza Lederer, 1863","Crambidae Latreille, 1810","Lepidoptera Linnaeus, 1758","Insecta Linnaeus, 1758","Arthropoda Gravenhorst, 1843",Animalia,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",3XR2,,,TAXON,
C7FX,species,Pelargonium × hortorum L.H.Bailey,L.H.Bailey,accepted,,Pelargonium L´Hér.,Geraniaceae Juss.,Geraniales,Magnoliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",9GVW,,,TAXON,
6ZSN,species,Rhipsalis puniceodiscus G.Lindb.,G.Lindb.,accepted,,Rhipsalis Gaertn.,Cactaceae Juss.,Caryophyllales,Magnoliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",D53Y,,,TAXON,
537P,species,Adiantum serratodentatum Willd.,Willd.,accepted,,Adiantum L.,Pteridaceae E.D.M.Kirchn.,Polypodiales,Polypodiopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",6DRS,,,TAXON,
6LXV,species,"Xylophanes isaon (Boisduval, 1875)","(Boisduval, 1875)",accepted,,"Xylophanes Hübner, 1819","Sphingidae Latreille, 1802","Lepidoptera Linnaeus, 1758","Insecta Linnaeus, 1758","Arthropoda Gravenhorst, 1843",Animalia,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",774S,,,TAXON,
G2FV,species,Pilosocereus catingicola (Gürke) Byles & G.D.Rowley,(Gürke) Byles & G.D.Rowley,accepted,,Pilosocereus Byles & G.D.Rowley,Cactaceae Juss.,Caryophyllales,Magnoliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",GBYH,,,TAXON,
CH6Z,species,"Acanthogonyleptes singularis (Mello-Leitão, 1935)","(Mello-Leitão, 1935)",accepted,,"Acanthogonyleptes Mello-Leitão, 1922","Gonyleptidae Sundevall, 1833","Opiliones Sundevall, 1833","Arachnida Lamarck, 1801","Arthropoda Gravenhorst, 1843",Animalia,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",BYZJ,,,TAXON,
H4Z4,species,Ormosia fastigiata Tul.,Tul.,accepted,,Ormosia Jacks.,Fabaceae Lindl.,Fabales,Magnoliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",574V,,,TAXON,
